,0,1,2,3,4,5,6,7,8,9,10,11,12
0,intro,counter-price,counter-price,agree,,,,,,,,,
1,intro,disagree,vague-price,counter-price,agree,agree,,,,,,,
2,intro,,,,,,,,,,,,
3,intro,counter-price,agree,,,,,,,,,,
4,intro,inquiry,counter-price,counter-price,,,,,,,,,
5,intro,init-price,counter-price,,,,,,,,,,
6,intro,inquiry,inquiry,init-price,counter-price,insist,,,,,,,
7,intro,inquiry,,,,,,,,,,,
8,intro,init-price,,,,,,,,,,,
9,intro,counter-price,counter-price,counter-price,,,,,,,,,
10,intro,counter-price,counter-price,agree,,,,,,,,,
11,intro,inquiry,counter-price,agree,,,,,,,,,
12,intro,inquiry,counter-price,inquiry,,,,,,,,,
13,intro,init-price,,,,,,,,,,,
14,intro,disagree,counter-price,disagree,counter-price,disagree,,,,,,,
15,init-price,counter-price,counter-price,,,,,,,,,,
16,intro,init-price,counter-price,counter-price,,,,,,,,,
17,intro,init-price,counter-price,,,,,,,,,,
18,intro,counter-price,agree,,,,,,,,,,
19,intro,init-price,,,,,,,,,,,
20,intro,counter-price,counter-price,agree,,,,,,,,,
21,intro,init-price,counter-price,counter-price,counter-price,insist,,,,,,,
22,intro,init-price,counter-price,,,,,,,,,,
23,intro,init-price,counter-price,,,,,,,,,,
24,intro,disagree,init-price,inquiry,inquiry,,,,,,,,
25,intro,counter-price,counter-price,,,,,,,,,,
26,intro,disagree,counter-price,,,,,,,,,,
27,intro,inquiry,init-price,counter-price,counter-price,,,,,,,,
28,intro,inquiry,disagree,counter-price,counter-price,disagree,insist,,,,,,
29,intro,counter-price,counter-price,agree,,,,,,,,,
30,intro,counter-price,counter-price,,,,,,,,,,
31,intro,disagree,disagree,counter-price,,,,,,,,,
32,intro,disagree,counter-price,counter-price,,,,,,,,,
33,intro,counter-price,agree,,,,,,,,,,
34,intro,init-price,counter-price,,,,,,,,,,
35,intro,inquiry,counter-price,,,,,,,,,,
36,intro,counter-price,counter-price,vague-price,counter-price,insist,,,,,,,
37,intro,counter-price,,,,,,,,,,,
38,intro,init-price,disagree,counter-price,,,,,,,,,
39,intro,init-price,inquiry,,,,,,,,,,
40,intro,counter-price,agree,,,,,,,,,,
41,intro,counter-price,counter-price,,,,,,,,,,
42,intro,disagree,disagree,init-price,counter-price,,,,,,,,
43,intro,init-price,counter-price,inquiry,,,,,,,,,
44,intro,init-price,disagree,counter-price,counter-price,agree,,,,,,,
45,intro,counter-price,agree,,,,,,,,,,
46,intro,counter-price,counter-price,,,,,,,,,,
47,intro,init-price,counter-price,,,,,,,,,,
48,intro,init-price,counter-price,disagree,vague-price,counter-price,vague-price,disagree,,,,,
49,intro,inquiry,disagree,counter-price,counter-price,,,,,,,,
50,intro,counter-price,counter-price,counter-price,,,,,,,,,
51,intro,init-price,counter-price,,,,,,,,,,
52,intro,disagree,counter-price,,,,,,,,,,
53,intro,vague-price,disagree,counter-price,,,,,,,,,
54,intro,inquiry,counter-price,,,,,,,,,,
55,init-price,counter-price,counter-price,,,,,,,,,,
56,intro,disagree,counter-price,counter-price,counter-price,,,,,,,,
57,intro,counter-price,agree,,,,,,,,,,
58,init-price,disagree,counter-price,counter-price,,,,,,,,,
59,intro,disagree,disagree,counter-price,,,,,,,,,
60,intro,counter-price,counter-price,agree,,,,,,,,,
61,init-price,counter-price,,,,,,,,,,,
62,intro,init-price,disagree,counter-price,inquiry,counter-price,,,,,,,
63,intro,counter-price,inquiry,,,,,,,,,,
64,intro,inquiry,init-price,disagree,agree,,,,,,,,
65,intro,inquiry,init-price,agree,counter-price,,,,,,,,
66,intro,init-price,inquiry,counter-price,,,,,,,,,
67,intro,init-price,counter-price,disagree,counter-price,counter-price,,,,,,,
68,intro,counter-price,inquiry,inquiry,,,,,,,,,
69,intro,disagree,disagree,counter-price,disagree,,,,,,,,
70,intro,disagree,inquiry,counter-price,,,,,,,,,
71,intro,disagree,disagree,counter-price,,,,,,,,,
72,intro,counter-price,counter-price,,,,,,,,,,
73,intro,init-price,counter-price,,,,,,,,,,
74,intro,init-price,disagree,disagree,counter-price,counter-price,,,,,,,
75,intro,counter-price,counter-price,disagree,,,,,,,,,
76,intro,counter-price,,,,,,,,,,,
