,words,count
0,a,7
1,about,1
2,absolute,16
3,ac,4
4,accept,239
5,acceptnumb,1
6,access,4
7,accessory,8
8,accord,1
9,account,4
10,accuracy,1
11,acid,6
12,across,4
13,act,3
14,action,1
15,active,8
16,actual,20
17,acute,1
18,ad,36
19,adapt,2
20,add,9
21,address,1
22,adjust,2
23,admit,13
24,adult,1
25,advance,4
26,advantage,1
27,adventure,1
28,advertise,3
29,aesthetic,1
30,affect,1
31,afford,59
32,afraid,5
33,aftermarket,1
34,afternoon,1
35,age,10
36,agent,5
37,ago,9
38,agreeable,3
39,agreement,4
40,ah,10
41,ahead,2
42,aid,2
43,aim,4
44,air,3
45,ak,1
46,al,1
47,alarmed,1
48,all,75
49,allah,1
50,allegro,1
51,allen,2
52,allow,9
53,almost,14
54,along,8
55,already,20
56,alright,35
57,also,70
58,alter,2
59,although,2
60,aluminium,1
61,amazingly,2
62,amazon,6
63,amen,18
64,american,3
65,ami,1
66,amity,1
67,among,1
68,amount,11
69,amp,7
70,amplifi,2
71,and,2
72,andros,2
73,angry,1
74,anna,1
75,annual,1
76,answer,2
77,anti,2
78,anticus,1
79,antique,10
80,anus,2
81,any,22
82,anymore,13
83,anyone,1
84,anyway,17
85,anywhere,3
86,apart,78
87,apartment,1
88,apology,2
89,appear,7
90,appliance,15
91,applied,4
92,apply,10
93,appoint,1
94,appreacit,1
95,appreci,6
96,approve,3
97,approxim,1
98,apt,2
99,arbat,3
100,are,18
101,area,43
102,arewould,1
103,arm,2
104,armchair,1
105,armor,1
106,armour,2
107,around,184
108,arrange,3
109,arrive,2
110,art,2
111,artist,1
112,ashes,1
113,ask,494
114,assembly,2
115,assign,1
116,assume,4
117,assure,2
118,at,1
119,att,3
120,attack,3
121,attain,1
122,attract,1
123,audit,2
124,aug,1
125,aunt,2
126,authentic,1
127,automatic,3
128,aux,1
129,avail,45
130,available,1
131,average,1
132,away,25
133,awesom,92
134,awesomewould,1
135,awhile,3
136,b,1
137,baby,4
138,back,15
139,background,1
140,backward,5
141,bad,12
142,balcony,4
143,ball,1
144,ballpark,4
